"filename", "language", "TypeScript", "JavaScript", "GraphQL", "JSON", "comment", "blank", "total"
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/static/webpack/3b0f02d0cd2f2b47fda3.hot-update.json", "JSON", 0, 0, 0, 1, 0, 0, 1
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/static/webpack/470e889304199dd8ac82.hot-update.json", "JSON", 0, 0, 0, 1, 0, 0, 1
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/static/webpack/4cc10cb552d266ba603e.hot-update.json", "JSON", 0, 0, 0, 1, 0, 0, 1
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/static/webpack/805a8c4324bd5d53e452.hot-update.json", "JSON", 0, 0, 0, -1, 0, 0, -1
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/static/webpack/8b16a2f6b8b479adcb37.hot-update.json", "JSON", 0, 0, 0, 1, 0, 0, 1
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/static/webpack/92f4cd4cf07b7cbaf835.hot-update.json", "JSON", 0, 0, 0, -1, 0, 0, -1
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/static/webpack/9bca6ff0099398bc0483.hot-update.json", "JSON", 0, 0, 0, 1, 0, 0, 1
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/static/webpack/b75c84204a7c17c89186.hot-update.json", "JSON", 0, 0, 0, 1, 0, 0, 1
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/static/webpack/eec01100a7796eb03832.hot-update.json", "JSON", 0, 0, 0, 1, 0, 0, 1
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/static/webpack/f42fcee7eb22efe5403f.hot-update.json", "JSON", 0, 0, 0, 1, 0, 0, 1
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/pages/_app.js", "JavaScript", 0, 2, 0, 0, 0, 0, 2
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/pages/index.js", "JavaScript", 0, 3, 0, 0, 0, 0, 3
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/pages/roles/[id].js", "JavaScript", 0, 5, 0, 0, 0, 3, 8
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/pages/roles/index.js", "JavaScript", 0, 5, 0, 0, 0, 3, 8
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/schema-types.ts", "TypeScript", 151, 0, 0, 0, 0, 10, 161
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/schema.graphql", "GraphQL", 0, 0, 126, 0, 14, 22, 162
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/access.ts", "TypeScript", 48, 0, 0, 0, 15, 7, 70
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/keystone.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 3
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/schemas/CartItem.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 7
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/schemas/Order.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 7
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/schemas/OrderItem.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 7
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/schemas/Reminder.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 7
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/schemas/Roles.ts", "TypeScript", 28, 0, 0, 0, 0, 2, 30
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/schemas/User.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 18
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/schemas/fields.ts", "TypeScript", 31, 0, 0, 0, 0, 4, 35
"Total", "-", 307, 14821, 126, 20, 11849, 8859, 35982
