"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/761012f6f1f5e19f5e45.hot-update.json", "JSON", 0, -1, 0, 0, -1
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/7b2006ae05a076e0ee10.hot-update.json", "JSON", 0, -1, 0, 0, -1
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/85c3e809bad5d9b28c46.hot-update.json", "JSON", 0, -1, 0, 0, -1
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/88765c817ca7d716399f.hot-update.json", "JSON", 0, -1, 0, 0, -1
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/8ba49309ce4ea767b47a.hot-update.json", "JSON", 0, -1, 0, 0, -1
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/8e8181e26df859965e5c.hot-update.json", "JSON", 0, -1, 0, 0, -1
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/91d861227271d1e5bf9a.hot-update.json", "JSON", 0, -1, 0, 0, -1
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/97ee05bcd9d95973c39d.hot-update.json", "JSON", 0, -1, 0, 0, -1
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/98da0d81b7cc3e980bb9.hot-update.json", "JSON", 0, -1, 0, 0, -1
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/9a361176b32882261299.hot-update.json", "JSON", 0, -1, 0, 0, -1
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/a2ccf2f8d140d248ddf6.hot-update.json", "JSON", 0, -1, 0, 0, -1
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/a339eff2f5f51937a169.hot-update.json", "JSON", 0, -1, 0, 0, -1
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/a795d6f81822576a750b.hot-update.json", "JSON", 0, -1, 0, 0, -1
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/b003e1cc77e86b5281c6.hot-update.json", "JSON", 0, -1, 0, 0, -1
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/b2fbe4845ddd1ab8dba5.hot-update.json", "JSON", 0, -1, 0, 0, -1
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/b49052439488aa2b73e0.hot-update.json", "JSON", 0, -1, 0, 0, -1
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/b6cdca29a67db4d82199.hot-update.json", "JSON", 0, -1, 0, 0, -1
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/b9350e59a2334fe48301.hot-update.json", "JSON", 0, 1, 0, 0, 1
