"filename", "language", "TypeScript", "GraphQL", "JavaScript", "JSON with Comments", "JSON", "comment", "blank", "total"
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/822d7bc873b1ec3b081813d174b1bd9b.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/828777e9e634ac696917774623450453.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/95e4eaa3cb3482a0e653789d54caec20.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/99fa99bf7fbf5af8acc1c86fc29cc010.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/9d4faad4575fbb104c37fe63c574262e.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/a88715db829ce41aada5946c0116e370.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/ab072d685a15027469862ba705b9570f.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/ac2744605df5c31d87a9178f526fbb82.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/ac5571a95a0c7a477c32583f340762e9.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/b4af696b383feb5ecebc3517252d15d4.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/b65a456acb02ac04580b7af96944c792.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/b67d74d8612f20664608cf9d41c8d9d2.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/b6e3b16863465d11b326443d409ab69a.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/baa09f5405070dbbe7f251b8dc5c1a36.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/bab3d3ee9a2a427e0a3d4030dedae40e.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/c2ab1302b8a3422e8989e83985506fd9.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
