"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/build-manifest.json", "JSON", 0, 39, 0, 0, 39
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/react-loadable-manifest.json", "JSON", 0, 8, 0, 0, 8
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/server/components_ErrorMessage_js.js", "JavaScript", 10, 0, 11, 4, 25
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/server/components_user_User_js-lib_ModalTemplate_js-lib_useForm_js.js", "JavaScript", 20, 0, 17, 10, 47
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/server/components_user_User_js.js", "JavaScript", 10, 0, 11, 4, 25
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/server/lib_ModalTemplate_js-lib_useForm_js.js", "JavaScript", 15, 0, 14, 7, 36
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/server/pages-manifest.json", "JSON", 0, 7, 0, 0, 7
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/server/pages/_app.js", "JavaScript", 151, 0, 94, 87, 332
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/server/pages/_document.js", "JavaScript", 58, 0, 36, 30, 124
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/server/pages/_error.js", "JavaScript", 23, 0, 15, 9, 47
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/server/pages/index.js", "JavaScript", 178, 0, 108, 102, 388
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/server/pages/next/dist/pages/_error.js", "JavaScript", 23, 0, 15, 9, 47
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/server/pages/order/[id].js", "JavaScript", 68, 0, 42, 36, 146
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/server/pages/upgrade.js", "JavaScript", 93, 0, 57, 51, 201
